epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.61737,1.17188,4.84301,0.98236,0,0,0,0,0.94168,4.12297,0.82119,6.672e-05,6.672e-05,6.672e-05
2,10.7069,1.01273,4.11734,0.92967,0.04846,0.44804,0.05528,0.0388,0.93345,3.97364,0.82209,0.000136702,0.000136702,0.000136702
3,13.7639,1.01178,3.64267,0.92848,0.03508,0.78119,0.09614,0.05975,0.9619,3.77493,0.84412,0.000205748,0.000205748,0.000205748
4,16.8263,0.9967,3.38082,0.93567,0.03229,0.9619,0.08984,0.06662,0.91251,3.45875,0.85873,0.000273858,0.000273858,0.000273858
5,19.957,0.966,3.2515,0.9277,0.039,1,0.08707,0.06601,0.91546,3.13915,0.87686,0.000341033,0.000341033,0.000341033
6,22.9155,0.98585,3.188,0.9394,0.03861,1,0.1156,0.09008,0.82569,2.95297,0.89644,0.000403239,0.000403239,0.000403239
7,25.9775,0.94647,3.14983,0.92538,0.03203,1,0.11265,0.08741,0.8802,2.70433,0.92373,0.000400487,0.000400487,0.000400487
8,28.8868,0.92944,3.00293,0.91035,0.04591,1,0.12036,0.09358,0.88105,2.4919,0.92588,0.000397735,0.000397735,0.000397735
9,33.3398,0.91061,3.01168,0.92462,0.05495,0.78372,0.13735,0.10744,0.83192,2.34699,0.93751,0.000394982,0.000394982,0.000394982
10,36.334,0.92908,2.95324,0.92482,0.04992,1,0.12101,0.09524,0.81495,2.41833,0.93937,0.00039223,0.00039223,0.00039223
11,39.5524,0.91262,2.93154,0.92092,0.10772,0.49371,0.12872,0.10274,0.80812,2.3855,0.93557,0.000389478,0.000389478,0.000389478
12,42.5946,0.92706,2.85616,0.92842,0.09466,0.46935,0.14234,0.11219,0.82452,2.33165,0.92911,0.000386726,0.000386726,0.000386726
13,45.7886,0.9055,2.86337,0.92188,0.10085,0.444,0.10844,0.08375,0.76178,2.29713,0.91166,0.000383974,0.000383974,0.000383974
14,48.5995,0.9178,2.82035,0.93053,0.09624,0.6643,0.10285,0.08187,0.84579,2.27753,0.92807,0.000381221,0.000381221,0.000381221
15,51.2528,0.879,2.77573,0.9093,0.04055,1,0.10478,0.08515,0.85337,2.27914,0.94,0.000378469,0.000378469,0.000378469
16,54.14,0.90364,2.7745,0.9111,0.04345,1,0.14459,0.11427,0.8297,2.26895,0.93,0.000375717,0.000375717,0.000375717
17,57.2833,0.91397,2.75077,0.92955,0.10244,0.70905,0.15163,0.1216,0.82447,2.21922,0.92541,0.000372965,0.000372965,0.000372965
18,60.4221,0.88556,2.77699,0.90593,0.0482,0.71414,0.14084,0.11195,0.76614,2.30496,0.90434,0.000370213,0.000370213,0.000370213
19,63.4496,0.88157,2.72871,0.91706,0.0489,0.8875,0.18713,0.1428,0.73269,2.37225,0.91559,0.00036746,0.00036746,0.00036746
20,68.1709,0.88328,2.72842,0.91579,0.05493,0.80504,0.17003,0.13549,0.74674,2.35345,0.90653,0.000364708,0.000364708,0.000364708
21,70.9171,0.88409,2.68219,0.90887,0.04623,1,0.16842,0.12875,0.71676,2.32641,0.90506,0.000361956,0.000361956,0.000361956
22,74,0.85358,2.69786,0.91903,0.05014,0.78186,0.14959,0.11368,0.77976,2.3018,0.92422,0.000359204,0.000359204,0.000359204
23,76.9029,0.87179,2.66736,0.917,0.06127,0.44423,0.17947,0.13955,0.7491,2.23503,0.90629,0.000356452,0.000356452,0.000356452
24,79.7908,0.8637,2.65468,0.92084,0.11384,0.49725,0.19031,0.1461,0.77211,2.26637,0.91016,0.000353699,0.000353699,0.000353699
25,82.7429,0.87003,2.63711,0.90181,0.12028,0.52934,0.18643,0.14208,0.7562,2.20712,0.90494,0.000350947,0.000350947,0.000350947
26,85.8705,0.86617,2.60997,0.91198,0.18708,0.38276,0.19806,0.15194,0.69967,2.2904,0.89554,0.000348195,0.000348195,0.000348195
27,88.7116,0.88041,2.59756,0.90967,0.09393,0.48004,0.1986,0.15521,0.67264,2.25422,0.88502,0.000345443,0.000345443,0.000345443
28,91.7395,0.87403,2.64211,0.92652,0.06143,0.62816,0.19439,0.15236,0.78078,2.3554,0.9165,0.000342691,0.000342691,0.000342691
29,95.0765,0.86913,2.58725,0.91073,0.16533,0.31343,0.21904,0.1762,0.79,2.27802,0.91271,0.000339938,0.000339938,0.000339938
30,98.1726,0.87136,2.58557,0.90688,0.08514,0.37175,0.22726,0.17599,0.83353,2.22199,0.91304,0.000337186,0.000337186,0.000337186
31,102.934,0.86081,2.55384,0.9123,0.40853,0.27203,0.24101,0.19439,0.7282,2.43335,0.90668,0.000334434,0.000334434,0.000334434
32,106.123,0.84529,2.52886,0.91445,0.09885,0.41049,0.24822,0.19893,0.78199,2.3171,0.90021,0.000331682,0.000331682,0.000331682
33,109.171,0.85655,2.50774,0.91441,0.13931,0.34117,0.26753,0.21447,0.77026,2.36648,0.90401,0.00032893,0.00032893,0.00032893
34,111.857,0.82629,2.50923,0.91096,0.2219,0.33654,0.26214,0.20947,0.73692,2.45771,0.90888,0.000326177,0.000326177,0.000326177
35,114.529,0.8567,2.5169,0.91114,0.5335,0.25906,0.26709,0.21169,0.70323,2.24283,0.90062,0.000323425,0.000323425,0.000323425
36,117.634,0.84208,2.43256,0.90582,0.20994,0.5009,0.278,0.22441,0.74453,2.24068,0.91188,0.000320673,0.000320673,0.000320673
37,120.248,0.87435,2.44257,0.91528,0.14197,0.40912,0.26137,0.20613,0.79674,2.50922,0.91447,0.000317921,0.000317921,0.000317921
38,123.148,0.83636,2.39616,0.89816,0.16304,0.47994,0.27767,0.22636,0.78649,2.38296,0.92098,0.000315169,0.000315169,0.000315169
39,125.909,0.83992,2.40387,0.90789,0.31859,0.35777,0.26666,0.2117,0.76056,2.21388,0.91083,0.000312416,0.000312416,0.000312416
