epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,203.876,0.85276,2.05361,0.94553,0.34091,0.55143,0.46352,0.36603,0.87952,1.64825,0.94733,0.00030416,0.00030416,0.00030416
43,208.041,0.87806,2.04549,0.94162,0.38668,0.51998,0.48165,0.37615,0.87938,1.69583,0.9582,0.000301408,0.000301408,0.000301408
44,212.732,0.84343,1.98293,0.93263,0.47617,0.4589,0.51476,0.40409,0.86983,1.57752,0.94314,0.000298655,0.000298655,0.000298655
45,217.523,0.84977,1.9669,0.93727,0.37789,0.56945,0.51243,0.40355,0.86232,1.55766,0.93521,0.000295903,0.000295903,0.000295903
46,222.175,0.86099,1.935,0.94635,0.4102,0.57881,0.50693,0.39849,0.86273,1.55234,0.94055,0.000293151,0.000293151,0.000293151
47,226.454,0.86473,1.89661,0.9378,0.39544,0.56397,0.50153,0.3908,0.87017,1.54427,0.94041,0.000290399,0.000290399,0.000290399
48,231.206,0.8501,1.87154,0.93252,0.4094,0.61184,0.52523,0.41017,0.85504,1.52516,0.94377,0.000287647,0.000287647,0.000287647
49,235.915,0.8483,1.83605,0.94549,0.49037,0.51308,0.53566,0.42015,0.86616,1.48298,0.94229,0.000284894,0.000284894,0.000284894
50,240.488,0.84547,1.82513,0.93557,0.47323,0.65577,0.5969,0.47054,0.86411,1.44779,0.93811,0.000282142,0.000282142,0.000282142
51,247.721,0.84504,1.82301,0.93266,0.50736,0.55217,0.56198,0.44207,0.87232,1.43332,0.95348,0.00027939,0.00027939,0.00027939
52,252.561,0.8388,1.83317,0.93862,0.49778,0.57619,0.58019,0.44974,0.87449,1.42263,0.94372,0.000276638,0.000276638,0.000276638
53,256.766,0.85237,1.78287,0.94162,0.5502,0.5768,0.6086,0.46713,0.8747,1.39914,0.94923,0.000273886,0.000273886,0.000273886
54,261.576,0.82862,1.73901,0.92907,0.66818,0.53635,0.64632,0.50944,0.86884,1.33632,0.94707,0.000271133,0.000271133,0.000271133
55,265.743,0.83087,1.73204,0.92477,0.48478,0.58437,0.60314,0.4714,0.87677,1.36419,0.95717,0.000268381,0.000268381,0.000268381
56,270.229,0.8229,1.71957,0.93316,0.5344,0.58325,0.63743,0.50165,0.86696,1.31461,0.95597,0.000265629,0.000265629,0.000265629
57,274.664,0.82148,1.674,0.92073,0.52654,0.62029,0.63853,0.50997,0.84663,1.281,0.94199,0.000262877,0.000262877,0.000262877
58,280.774,0.81238,1.65982,0.92133,0.58051,0.6064,0.65048,0.5148,0.84767,1.33136,0.93301,0.000260125,0.000260125,0.000260125
59,284.889,0.81823,1.62799,0.92662,0.54908,0.58642,0.62166,0.49597,0.8709,1.31487,0.94,0.000257372,0.000257372,0.000257372
60,289.161,0.84116,1.65901,0.94957,0.52042,0.58953,0.62255,0.49669,0.85063,1.31995,0.94889,0.00025462,0.00025462,0.00025462
61,293.345,0.82285,1.60156,0.91765,0.51326,0.65811,0.66687,0.52663,0.85995,1.32401,0.94225,0.000251868,0.000251868,0.000251868
62,297.494,0.82369,1.61969,0.9266,0.55605,0.64405,0.68269,0.54191,0.85022,1.25745,0.94434,0.000249116,0.000249116,0.000249116
63,301.908,0.82018,1.60487,0.92369,0.52818,0.66155,0.64809,0.51716,0.85792,1.2568,0.9449,0.000246364,0.000246364,0.000246364
64,306.07,0.81654,1.55881,0.93264,0.54865,0.64078,0.64954,0.51646,0.84259,1.26141,0.93102,0.000243611,0.000243611,0.000243611
65,310.718,0.82042,1.58311,0.93262,0.51547,0.64352,0.66374,0.52223,0.87121,1.25465,0.94713,0.000240859,0.000240859,0.000240859
66,317.349,0.82416,1.56548,0.92201,0.61909,0.64241,0.69705,0.55309,0.86934,1.18517,0.94731,0.000238107,0.000238107,0.000238107
67,322.164,0.81328,1.50593,0.92615,0.54498,0.59575,0.66995,0.53116,0.85388,1.29387,0.95067,0.000235355,0.000235355,0.000235355
68,326.666,0.8134,1.53493,0.92771,0.64805,0.66774,0.70518,0.55966,0.86052,1.16519,0.94705,0.000232603,0.000232603,0.000232603
69,331.148,0.81382,1.54561,0.92463,0.59923,0.59381,0.67484,0.53928,0.85451,1.20976,0.94104,0.00022985,0.00022985,0.00022985
70,335.573,0.79099,1.47247,0.91737,0.68475,0.63815,0.69984,0.55944,0.8598,1.18762,0.9491,0.000227098,0.000227098,0.000227098
71,339.933,0.80786,1.43442,0.92043,0.70734,0.55505,0.7076,0.55956,0.85982,1.16033,0.94184,0.000224346,0.000224346,0.000224346
72,344.7,0.80543,1.47458,0.9173,0.66557,0.66693,0.73323,0.58304,0.86736,1.12407,0.95434,0.000221594,0.000221594,0.000221594
73,350.73,0.79878,1.50284,0.92296,0.63017,0.71225,0.74289,0.59314,0.85574,1.06486,0.94141,0.000218842,0.000218842,0.000218842
74,355.86,0.79811,1.42526,0.91915,0.63388,0.6984,0.7381,0.58411,0.86073,1.1432,0.94662,0.000216089,0.000216089,0.000216089
